Date,Time,Source,Source_port,Destination,Dest_Port,Protocol,Service,Policy_ID,State,Action,Duration,Bytes,Packets,Attack
2025-01-01,00:00:20,192.168.26.62,3106,140.23.152.109,27017,tcp,mongodb,POL-674,ESTABLISHED,allow,2.346,1074,2,benign
2025-01-01,00:00:26,192.168.71.56,46777,2.195.207.41,27017,tcp,mongodb,POL-204,SYN_ACK,allow,0.299,689,1,benign
2025-01-01,00:00:28,10.186.207.180,6188,32.250.237.97,110,tcp,pop3,POL-691,ESTABLISHED,allow,4.595,1651,1,benign
2025-01-01,00:00:34,10.218.246.27,42684,26.98.72.117,80,tcp,http,POL-373,ESTABLISHED,allow,1.814,1106,3,benign
2025-01-01,00:00:54,10.118.86.176,45890,164.177.143.57,6379,tcp,redis,POL-423,ESTABLISHED,allow,2.828,2054,7,benign
2025-01-01,00:01:06,192.168.80.143,43153,128.102.227.235,53,udp,dns,POL-242,CLOSED,allow,0.069,265,1,benign
2025-01-01,00:01:13,192.168.102.64,50554,36.131.127.24,3306,tcp,mysql,POL-796,ESTABLISHED,allow,3.045,1353,4,benign
2025-01-01,00:01:26,136.65.249.142,45700,3.175.185.30,143,tcp,imap,POL-400,ESTABLISHED,allow,4.488,2347,4,benign
2025-01-01,00:01:39,68.249.129.196,56183,28.223.161.77,80,tcp,http,POL-265,ESTABLISHED,allow,4.677,1656,2,benign
2025-01-01,00:01:56,172.16.79.199,53896,93.225.253.213,443,tcp,https,POL-187,ESTABLISHED,allow,5.764,23775,53,exfiltration
2025-01-01,00:02:11,172.31.38.75,28754,68.136.224.156,412,tcp,mysql,POL-223,FIN_WAIT,deny,0.651,40,1,port_scan
2025-01-01,00:02:18,10.1.215.67,16027,192.168.15.19,21,tcp,pop3,POL-343,ESTABLISHED,allow,1.497,1184,5,benign
2025-01-01,00:02:26,192.168.147.131,13502,201.122.207.105,53,udp,dns,POL-541,CLOSED,allow,0.075,1036,1,benign
2025-01-01,00:02:37,192.168.251.243,53491,16.104.187.87,3389,tcp,rdp,POL-243,ESTABLISHED,allow,17.464,5457,12,benign
2025-01-01,00:02:50,114.207.221.220,1991,13.167.139.215,3389,tcp,rdp,POL-318,ESTABLISHED,deny,14.025,704,1,benign
2025-01-01,00:03:02,68.238.201.201,52362,109.179.246.188,3389,tcp,rdp,POL-655,SYN_ACK,deny,0.463,196,1,brute_force
2025-01-01,00:03:03,192.168.40.78,56817,192.168.20.131,9200,tcp,http,POL-222,SYN_ACK,allow,0.231,432,1,benign
2025-01-01,00:03:21,192.168.144.179,21614,67.53.172.184,8443,tcp,postgres,POL-568,ESTABLISHED,allow,8.823,1803,2,benign
2025-01-01,00:03:31,10.129.129.169,17033,90.226.18.226,53,udp,dns,POL-548,CLOSED,allow,0.066,169,1,dns_tunnel
2025-01-01,00:03:48,192.168.2.1,7812,142.77.239.170,5432,tcp,postgres,POL-666,FIN_WAIT,deny,0.387,142,1,benign
2025-01-01,00:03:52,192.168.162.94,60541,130.126.65.232,5432,tcp,postgres,POL-145,ESTABLISHED,allow,7.397,2941,10,benign
2025-01-01,00:03:52,192.168.113.29,5955,110.144.3.29,22,tcp,ssh,POL-696,ESTABLISHED,deny,7.376,652,1,benign
2025-01-01,00:04:09,204.249.221.11,7760,54.175.64.171,53,tcp,ssh,POL-735,ESTABLISHED,allow,2.219,973,1,benign
2025-01-01,00:04:13,208.46.226.106,22794,192.168.236.172,53,udp,dns,POL-921,CLOSED,allow,0.074,341,1,dns_tunnel
2025-01-01,00:04:20,57.52.210.236,15939,79.211.204.224,8080,tcp,mongodb,POL-985,ESTABLISHED,allow,6.539,3029,3,benign
2025-01-01,00:04:22,192.168.251.45,58501,85.241.8.30,443,tcp,https,POL-453,FIN_WAIT,allow,0.637,7313,9,exfiltration
2025-01-01,00:04:32,192.168.111.162,48172,192.168.175.214,5900,tcp,mysql,POL-780,ESTABLISHED,deny,7.152,797,1,benign
2025-01-01,00:04:42,172.24.29.45,20400,105.84.104.179,6379,tcp,redis,POL-793,ESTABLISHED,allow,3.698,1971,4,benign
2025-01-01,00:04:47,172.20.151.51,22142,202.149.156.168,25,tcp,smtp,POL-915,SYN_ACK,allow,0.129,327,1,benign
2025-01-01,00:04:52,172.17.126.132,15746,193.61.173.80,25,tcp,smtp,POL-586,ESTABLISHED,allow,11.906,4312,12,benign
2025-01-01,00:05:11,148.50.184.179,46088,103.63.38.168,219,tcp,https,POL-630,ESTABLISHED,deny,2.641,40,1,port_scan
2025-01-01,00:05:25,10.205.41.164,21818,136.253.144.153,53,udp,dns,POL-727,CLOSED,deny,0.068,98,1,benign
2025-01-01,00:05:41,172.23.51.125,51212,64.216.164.71,3306,tcp,mysql,POL-179,ESTABLISHED,allow,13.275,3767,5,benign
2025-01-01,00:05:50,10.38.156.215,5233,178.40.181.55,110,tcp,pop3,POL-311,ESTABLISHED,allow,8.14,3757,6,benign
2025-01-01,00:06:03,192.168.97.97,56955,91.77.193.100,5432,tcp,postgres,POL-919,ESTABLISHED,allow,11.154,4700,7,benign
2025-01-01,00:06:22,10.99.140.38,11840,174.205.104.186,22,tcp,ssh,POL-677,ESTABLISHED,allow,1.914,1394,1,brute_force
2025-01-01,00:06:22,172.22.16.208,58672,117.84.87.195,9200,tcp,imap,POL-119,ESTABLISHED,allow,1.293,1714,2,benign
2025-01-01,00:06:39,192.168.10.79,41743,64.52.215.6,110,tcp,pop3,POL-323,SYN_SENT,allow,0.035,295,1,benign
